Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
BTC-USD,NVDA,^BVSP,BTC-USD,NVDA,^BVSP,BTC-USD,NVDA,^BVSP,BTC-USD,NVDA,^BVSP,BTC-USD,NVDA,^BVSP
46458.1171875,30.07098960876465,103922.0,47510.7265625,30.660010168735198,106125.0,45835.96484375,29.735547036544133,103413.0,47343.54296875,29.765497912268366,104823.0,33071628362,391547000.0,11128500.0
45897.57421875,29.24136734008789,103514.0,47406.546875,30.417410867767106,104276.0,45752.46484375,28.30192980643292,103096.0,46458.8515625,30.226728022386652,103922.0,42494677905,527154000.0,11491600.0
43569.00390625,27.55816650390625,101006.0,46929.046875,29.36715813948575,103514.0,42798.22265625,27.487285245137592,100850.0,45899.359375,28.90093258498612,103514.0,36851084859,498064000.0,0.0
43160.9296875,28.131214141845703,101561.0,43748.71875,28.390782679226177,102235.0,42645.5390625,27.020063147790008,101000.0,43565.51171875,27.594107303762602,101006.0,30208048289,454186000.0,11749200.0
41557.90234375,27.201759338378906,102719.0,43153.5703125,28.374809533146287,102719.0,41077.4453125,27.012074277608804,101104.0,43153.5703125,28.094275963122143,101561.0,84196607520,409939000.0,11733200.0
41733.94140625,,,42228.94140625,,,40672.27734375,,,41561.46484375,,,28066355845,,
41911.6015625,,,42663.94921875,,,41338.16015625,,,41734.7265625,,,21294384372,,
41821.26171875,27.354503631591797,101945.0,42199.484375,27.42338930513936,102719.0,39796.5703125,25.60141884190901,101038.0,41910.23046875,26.5368632861712,102719.0,32104232331,594681000.0,10264700.0
42735.85546875,27.770811080932617,103779.0,43001.15625,28.018400389548873,103780.0,41407.75390625,26.79443625197096,101918.0,41819.5078125,27.277631854382193,101946.0,26327648900,404089000.0,12421500.0
43949.1015625,27.952512741088867,105686.0,44135.3671875,28.547521945653298,105869.0,42528.98828125,27.562161186858624,103771.0,42742.1796875,28.02039872605383,103779.0,33499938689,383413000.0,13026500.0
42591.5703125,26.530874252319336,105530.0,44278.421875,28.432709872765688,106251.0,42447.04296875,26.454000538070343,104974.0,43946.7421875,28.331877745975987,105686.0,47691135082,540171000.0,11712300.0
43099.69921875,26.897262573242188,106928.0,43346.6875,27.15184021518714,107062.0,41982.6171875,26.166477699964464,105028.0,42598.87109375,26.25632840839427,105530.0,23577403399,395832000.0,11457100.0
43177.3984375,,,43724.671875,,,42669.03515625,,,43101.8984375,,,18371348298,,
43113.87890625,,,43436.80859375,,,42691.0234375,,,43172.0390625,,,17902097845,,
42250.55078125,,106692.0,43179.390625,,106928.0,41680.3203125,,106097.0,43118.12109375,,106927.0,21690904261,,6924200.0
42375.6328125,25.85999298095703,106522.0,42534.40234375,26.59377326564465,107013.0,41392.21484375,25.72721438047937,105786.0,42250.07421875,26.2164006022105,106369.0,22417209227,424270000.0,11221900.0
41744.328125,25.02537727355957,108013.0,42478.3046875,26.49892630165534,108602.0,41242.9140625,25.010402789445816,106669.0,42374.0390625,26.03569794765368,106670.0,23091543258,488315000.0,12595600.0
40680.41796875,24.109901428222656,109102.0,43413.0234375,25.536529597451146,109873.0,40672.82421875,24.03802047292025,108015.0,41744.02734375,25.26198658294624,108015.0,20382033940,435181000.0,13630500.0
36457.31640625,23.335193634033203,108942.0,41060.52734375,24.78178732336628,109786.0,35791.42578125,23.224377861945758,108368.0,40699.60546875,23.46797224059822,109097.0,43011992031,718958000.0,13408400.0
35030.25,,,36688.8125,,,34349.25,,,36471.58984375,,,39714385405,,
36276.8046875,,,36433.3125,,,34784.96875,,,35047.359375,,,26017975951,,
36654.328125,23.333192825317383,107752.0,37247.51953125,23.3411789632301,108948.0,33184.05859375,20.853318010342655,106624.0,36275.734375,22.2929231470104,108941.0,41856658597,913982000.0,12700800.0
36954.00390625,22.28693389892578,109845.0,37444.5703125,22.904907532580342,110115.0,35779.4296875,21.96347244430527,107185.0,36654.8046875,22.508565424549584,107935.0,26428189594,664616000.0,13713900.0
36852.12109375,22.734193801879883,111573.0,38825.41015625,24.017060321667454,112695.0,36374.90625,22.262977283715227,110204.0,36950.515625,23.201417250189568,110207.0,31324598034,755959000.0,15513800.0
37138.234375,21.90756607055664,112315.0,37148.32421875,23.955161337957513,113057.0,35629.28125,21.639011692590543,111303.0,36841.87890625,23.528870251058976,111303.0,25041426629,573353000.0,14812000.0
37784.33203125,22.80207633972168,111478.0,37952.87890625,22.82004610193426,112969.0,36211.109375,21.260639391449324,111407.0,37128.4453125,21.97545014030814,112611.0,22238830523,543774000.0,13520100.0
38138.1796875,,,38576.26171875,,,37406.47265625,,,37780.71484375,,,17194183075,,
37917.6015625,,,38266.33984375,,,37437.7109375,,,38151.91796875,,,14643548444,,
38483.125,24.445348739624023,112388.0,38647.26171875,24.46831127131199,112495.0,36733.57421875,23.013729431519465,111195.0,37920.28125,23.143512769462646,111910.0,20734730465,564680000.0,12190800.0
38743.2734375,24.59709358215332,113147.0,39115.1328125,25.103251770657277,113302.0,38113.6640625,23.850334402918143,112135.0,38481.765625,25.062319478076446,112143.0,20288500328,518925000.0,11133300.0
36952.984375,25.200088500976562,112161.0,38834.6171875,25.774132622519968,113666.0,36832.73046875,24.51223144212817,111645.0,38743.71484375,25.751172000167223,113228.0,19155189416,543419000.0,11751200.0
37154.6015625,23.90823745727539,111696.0,37154.6015625,25.03536261217164,112502.0,36375.5390625,23.74051713033436,111225.0,36944.8046875,24.417390898008602,111897.0,18591534769,410178000.0,11039700.0
